Cleaned_Sentence,Sentiment
prior transaction whose financial term disclose alma medium own 40 % kotikokki net .,1
$ ctrp bad long chart sma100 resistance .,2
merger upm finnishswedish stora enso likely either .,1
$ hyg potential continuation uptrend 60154 chart,2
peroni grolsch put sale ab inbev plan acquisition sabmiller,2
operating profit ninemonth period increase eur13 .6 net sale increase eur394 .7 compare corresponding period 2005 .,2
beer differ slightly mainstream beer .,1
financial detail nt disclose .,1
separately yit corporation austrian firm e ag last week sign agreement sale e build system service business germany austria poland czech republic hungary romania eur 55 mln .,2
finnish aluminium product manufacturer nordic aluminium plc omx helsinki noa1v report monday 18 august operating profit eur7 .9 net sale eur55 .2 period januaryjune 2008 .,1
temporary layoff affect entire workforce also implement .,1
southfield mich. central corporate credit union distribute patronage dividend member waive service fee incur month july november 2008 tune estimate $ 1 million .,2
sale rise 10 pct 566 mln eur back strong volume favourable currency effect .,2
choose giant countdown red head rainbow trout giant shad rap perch color .,1
russian export duty activate harvest finland sale russia increase also .,2
finnish electronics manufacturing service ems company elcoteq se post net loss 66.4 mln euro $ 91.2 mln first half 2007 compare net profit 7.1 mln euro $ 9.8 mln period 2006 .,0
preliminary estimate hotel operate brand novotel .,1
credit 20 november 2009 finnish glass technology company glaston oyj abp hel gla1v say today conclude eur74m revolve credit facility agreement core bank .,2
end day scan bullish crossover $ bbva $ pds $ ntls $ ngl $ sbrcy $ fgl $ mtnoy $ ttt,2
tvo twounit 1740 mw olkiluoto plant generate 14.2 twh operate ratio across reactor 93.5 % company describe high international standard .,1
turun kaupunkin finland base company award contract lemminkainen talotekniikka oy electrical installation work .,2
finnair total traffic decrease 8.7 % term revenue passenger kilometre .,1
consolidated pretax profit decrease 69.2 % eur 41.0 mn eur 133.1 mn 2007 .,0
$ gild 91 support . $ ibb $ bib,2
wore black beanietype cap black jacket .,1
finnish developer manufacturer mobile phone charger salcomp plc omx helsinki sal1v wednesday 19 november lowered fullyear net sale estimate .,1
basware corporation stock exchange release august 31 2010 1625 basware sign large deal international industrial group basware deliver invoice automation solution connectivity service international industrial group .,2
delivery start second half 2007 startup mill schedule 2008 .,1
cash flow operation recent quarter also reach eight year low .,0
mn pretax profit eur 46.4 mn eur 35.8 mn third quarter 2006 .,2
tikkurila inspires color life .,1
$ isrg trading alltime high strong earnings report 4 day short interest .,2
october upm report thirdquarter net loss euro86 million $ 110 million compare net profit euro120 million 2007 .,1
tesco share jump 6 % christmas sale beat expectation,2
potential acquirer cencorp corporation relate entity sav owe sav cencorp subsidiary finnish savcor group oy .,1
yit baltic sale first three quarter 2008 total 106.2 million euro represent drop 29 percent year year .,1
net loss period 2009 euro18 .6 million .,1
also cba issue benchmark 10 year fix rate deal euro .,1
aspo group structure business operation develop persistently without predefined schedule .,1
loss period total eur 15.6 mn compare profit eur 6.3 mn 2008 .,1
shell buy bg group $ 69.7 billion takeover,2
$ bbry hearing rumour major joint venture announcement .,2
philip available comment report .,1
sony ericsson nokia dominate list bestselling handset five model .,2
repeat order follow successfully instal 159 elevator delhi metro system kone spokeswoman tell thomson financial news .,2
operating profit kauppalehti group rise eur 1.5 mn eur 1.3 mn marketplace eur 1.3 mn eur 1.0 mn third quarter 2006 .,2
work include lay natural stone pavement installation underground heat surface water drainage system .,1
profit tax eur 0.1 mn compare eur 0.4 mn previous year .,2
currently terminator lure produce subcontract facility mexico manufacturing transfer rapala factory shenzhen china .,1
change market situation tougher price competition substantially reduce demand bread packaging manufacture kauhava plant accord company .,1
adp news feb 4 2009 finnish broadband data communication system solution company teleste oyj hel tlt1v say today net profit decrease eur 5.5 million usd 7.2 2008 eur 9.4 million 200,0
helsinki afx share close high lead nokia announce plan team sanyo manufacture 3g handset nokian tyre fourthquarter earnings report beat analyst expectation dealer say .,2
finnish navigation device manufacturer benefon change name geosentric report net sale eur 1.1 mn second quarter 2007 .,1
a. le coq market share 41.3 percent rival beverage group saku 32.1 percent .,1
particular attention pay energy efficiency construction building design meet requirement energy class b leed certification apply .,1
today orange scissors iconic symbol excellent ergonomic design superior quality associate every product fiskars .,1
close omx helsinki 25 0.01 pct low 3067.64 point omx helsinki 0.05 pct 10321.46 point 1.343 bln eur turnover .,1
tallink claim watertight door vana tallinn regina baltica include electrical system fully work order .,2
result improved sale figure sweden .,2
arrangement apply group unit outside finland .,1
operating profit eur 1.6 mn 2005 compare eur 5.9 mn 2004 .,1
rbi surprise street sensex pares gain hit mount 30k,0
adp news sep 30 2008 finnish security privacy software solution developer stonesoft oyj say today usd 1.9 million eur 1.3 order deliver stonegate network security product unnamed russian te,2
tieto service also use send process receive material related absentee voting .,1
finlandbased stockmann group close seven franchise sport store nike russia .,0
whitbread profit sale continue rise look new ceo,2
aspocomp repay interest bearing liability standard charter bank use rest consideration partially repay interest bearing liability finland improve liquidity .,2
fastenal miss $ 0.01 miss revenue $ fast,0
finnish investment group norvestia oyj say net profit fell 23.5 mln euro $ 30.6 mln 2006 33.5 mln euro $ 43.6 mln 2005 .,1
commission find evidence several meeting discuss cartel include one brussels restaurant november 1997 company discuss price increase .,1
part reorganisation measure take place spring 2006 tamglass finton start personnel negotiation affect entire staff 33 .,1
corrensponds 4.628 percent okmetic share capital voting right .,1
tim cockroft brings excellent track record 18 year experience moreover tim successfully developed capital market operation kaupthing singer friedlander involve corporate finance broking focus midmarket company .,2
25 november 2010 finnish paint coating company tikkurila oyj hel tik1v say today finnish stateowned investment company solidium oy sell 14.7 % stake company total eur98m .,1
runway visual range calculate assessment distance pilot see runway .,1
abn amro capital agree sell helsinkibased designer homeware producer iittala oyj crosstown consumer product group fiskars corp. eur230 million eur235 million $ 310 million $ 316 million .,1
feed company suomen rehu raisio import gmo feed .,1
tecnomen solution use prepaid postpaid billing charge rating voice video call data traffic kind content service mobile fix network .,1
performance base value sustainability .,1
biohit say reduce number lease personnel 10 lay 10 personnel .,1
$ gevo plunging ! back $ 3.55 .,0
company net profit rise 11.4 % year 82.2 million euros 2005 sale 686.5 million euros 13.8 % year company say earlier .,2
earnings per share eps amount eur0 .01 .,1
ingenious hsbc ubs coutts sue tax avoidance client,0
purchase agreement 7200 ton gasoline delivery hamina terminal finland sign neste oil oyj average platts index september plus eight u dollar per month .,2
short $ atvi 24.55 .,0
$ pkt momentum build breakout trigger ! long setup,2
platform would continue development framework symbian meego .,1
19 may 2010 finnish company lemminkainen oyj hel lem1s say today construct office building toolonlahti downtown helsinki without disclose financial detail .,1
final price specify 14 may 2010 acquire company say .,1
nordea pankki suomi oyj accord previously announce make forward contract alma medium corporation share .,1
profit tax eur 4.0 mn eur 4.9 mn .,1
report oriolakd chief executive officer eero hautaniemi .,1
cut number plant group trim fix cost .,2
$ sina even though report untrue proven unture damage do . one want touch,0
merkels government say support deutsche boerselse merger,2
operating profit decline mainly due increase cost wood recycle fiber strengthen euro .,1
companiestesco bad start xmas kantar,0
capacity facility make finland vaahto group 86000 ton light coated paper .,1
17 march 2011 goldman sachs estimate negative prospect norwegian mobile operation norway telenor asa osl tel sweden teliasonera ab sto tlsn short term .,1
steek set 2002 base bordeaux southwestern france .,1
president ceo mika vehvilinen say positive sign first foremost emerge outside finland .,2
finnish construction group lemminkinen award two road building contract lithuanian transport administration .,2
accord eijkens publisher much publish colourful book publisher provide value add information individualising .,1
finnish silicon wafer technology company okmetic oyj omx helsinki okm1v say wednesday 17 september invest eur6m sensor wafer business 2009 .,1
$ rad would consider opportunity add position company right track still improve sale ...,2
low capacity utilisation rate steel production considerably increase fixed cost per unit steel produce .,1
work assignment already start due completion spring 2011 .,1
progress group qpr representative saudi arabia north africa sign framework agreement long term strategic relationship ise .,2
finnish bank land report operate profit fell eur 4.9 mn third quarter 2007 eur 5.6 mn third quarter 2006 .,0
finnish kemira net sale eur decrease eur 1259.6 mn januaryjune 2009 eur 1425.1 mn januaryjune 2008 .,1
financial term disclose .,1
company may time possession one tenth share maximum .,1
value order eur 70mn .,1
recap $ msft rumor morning spin xbox unit stock grind day close high,2
accord finnish metso mineral value company order go eur 1.9 bn 12 month .,2
therefore company 2005 result remain weak 2004 .,1
breakingviews iag pay aer lingus,2
pine oil project relate upgrade chemical recovery plant upm pulp mill kymi southern finland .,1
standard charter shifts emergingmarkets strategy loss,0
ab inbev sell sabmiller stake china snow beer,1
marubeni group focus create value chain upstream downstream encompass wide variety business field include oil gas metal mineral resource food pulp paper chemical among others .,1
base upon unique fiber expertise innovative approach company strong market position several business area operate .,2
personnel expertise high level technology play major role exel composite operation .,1
cocacola market leader manufacturer market share 36.9 % 2.2 % corresponding period 20042005 .,0
metsabotnia sell 82.1 % stake uruguayan company metsaliitto 5.5 % .,1
aviva weigh cash handout beating profit forecast,2
tesla recall 2700 model x suvs seat issue $ tsla,0
bovine slaughter cut kuopio facility transfer kauhajoki slaughterhouse .,1
adjustment fall price level contrast less effective .,1
okmetic global customer base sale network production plant finland u contract manufacturer japan china .,1
public service also available .,1
asian traffic decline 3.4 per cent .,1
finnish swedish construction market still experience estimate 4 % annual growth 2008 .,2
stock exchange release 1032011 1200 sanoma publish annual report financial statement 2010 first corporate responsibility report .,1
company target sale ls 27.1 mn l 23.498 mn profit ls 300000 l 371500 2007 .,1
takeover cramo become second large rental service provider latvian market .,2
ruukki restructure commercial industrial construction operation pursuit permanent improvement whilst adjust operation market condition .,1
project revenue $ 2.2 billion $ 2.3 billion slightly high analyst estimate $ 2.19 billion .,2
brokerage say 2006 see true turn point european steel base price well price see carry second quarter 2006 .,2
operating profit fourth quarter fell eur33m eur39m year earlier .,0
$ jd 20 % afterhour market . anyone care explain ?,0
operating profit total eur 83.0 mn eur 23.5 mn yearonyear .,2
briefaviva aim increase dividend payout ratio 50 pct 2017,2
$ expe work second leg reversal run break another trend continue high .,2
geosentric acquire extra financing issue maximum 220000 new share convertible bond subscription right 880000 share fully subscribe .,1
$ adbe technical alert expansion breakout gilligans island sell setup volume surge new 52 ...,2
$ iwm condition send market tumble hit week,0
$ aapl near 3 % drop thats lot ... best hold er lol,0
operating profit improve 27 % eur 579.8 mn eur 457.2 mn 2006 .,2
dec. 1 grimaldi acquire 1.5 million share 50.1percent stake finnlines .,1
shire propose $ 30 bln allshare tieup baxalta,2
last july group say intend relocate warehouse office space loudeac saint marcel morvillars east france already operate hook manufacture distribution unit .,1
pohjola cooperative bank continue combine branch office network .,1
prothious engineering employ 1000 large portfolio project annual detail capacity 100000 tonne .,1
qualcomm estimate firstquarter profit 46 50 cent share exclude certain item analyst estimate 61 cent share .,1
liquidity provide interrupt may 11 2007 aspocomp group oyj share trade 0.50 cent aspocomp stock exchange release 11.5.2007 .,0
subscription period amer sport 2002 warrant scheme end 31 december 2007 .,1
transaction also rationalize pulp paper industry related solution .,2
schwalm outotec.com eila paatela vice president corporate communication tel . 358 20 529 2004 mobile 358 400 817198 email eila .,1
look forward contribute srv success competence say taneli hassinen .,2
fourth quarter 2008 net sale decrease eur 121.4 mn eur 165.5 mn fourth quarter 2007 .,1
astrazenecas medimmune ink license deal omnis pharmaceutical,2
order intake grow 40 % yearonyear 30 % yearonyear respectively eur 576 million eur 1.7 billion respective januaryseptember julyseptember 2010 period .,2
strike finnair estimate incur net loss eur2m eur2 .5 per day .,0
currently 95 % trainer house revenue attribute finnish market .,1
oxyview pulse oximeter common device check patient bloodoxygen saturation level pulse rate .,1
russian gas giant invest another 46 million litas company late 2004 own 99.5 percent stock capital amount 86.936 million litas .,1
company use money product development research activity 2013 key market finland germany italy france .,1
partnership finnish paulig danish subsidiary oscar puljonki acquire sale organization european market .,1
finnish oko bank sign cooperation agreement raiffeisen concern finnish company investment russia .,2
finnish bank alandsbanken say monday buy swedish operation iceland trouble kaupthing bank 414 million kronor $ 49.5 million cash .,1
export grow 16.5 percent 19.1 million liter .,2
digia say consolidated net sale januaryjune 2010 eur67 .8 9.7 % period 2009 eur61 .9 .,2
company employ 6400 report net sale 620 mln euro $ 823.2 mln 2006 .,1
trlpc crh back lafarge holcim asset buy 6.5 bln euro bridge loan,2
g4s see profit rise uk contract problem remain,2
office space rise remodel cannon street underground station .,1
accord original merger plan scanfil would get 79 % stake combined business .,1
result company temporarily layoff 25 % whole personnel approximately 270 person kirkkonummi nivala factory .,0
2006 kone receive order aker yard supply 43 customised elevator first genesis cruise ship schedule completed 2009 .,2
service also enable user watch email html format en enhance 23 addition language choose .,1
previously grimaldi hold 46.43 pct stake finnish company follow takeover bid launch november 2006 .,1
update 3auto trader share leap uks big private equitybacked listing,2
far know sell share own personally .,1
adpnews oct 21 2009 finlandbased consultancy tieto oyj hel tie1v say today net profit plunge eur 29.4 million usd 43.9 first nine month 2009 eur 58.7 million period,1
correspond increase 85432.50 euro ahlstrom share capital enter trade register today .,1
follow strategy tikkurila establish fullyowned sale company tikkurila almaty kazakhstan marketing decorative paint finnish tikkurila brand russian teks brand .,1
related link flexiblebaseloadoperation thewartsila32generating set gasconversions shorter two version press release .,1
inventor bylander johan ponten fredrik lundberg jorgen .,1
inventor mukkavilli krishna kiran sabharwal ashutosh aazhang behnaam .,1
third quarter net sale increase 12 % yearonyear eur159 .5 6 % comparable currency rate growth .,2
network test business part elektrobit test automation business segment employ 39 people finland 22 people abroad mainly u asia .,1
fair value investment property total eur 2534.9 mn eur 2455.1 mn 2006 .,2
dilute eps rise eur3 .68 eur0 .50 .,2
long $ vvus share call option w expiration .. umm .. today . hit hod .,2
return flight stuttgart every morning well even departure thursdays friday sunday .,1
raute corporation receive order worth eur 12 million ooo ilim bratsk dok russia .,2
feel quite positive region whole .,2
term agreement bunge acquire raisio keiju makuisa pyszny duet brand manufacture plant finland poland .,1
companiesab inbev signal wont go hostile sabmiller,2
iso certification demonstrate move forward quality commitment customer .,2
decision make whether group agree import estonian meat meat product finland paper add .,1
salcomp manufacture oy pay eur 35 million cash salcomp connection implementation sale transfer business .,1
alexandria va. dec. 22 united state patent . 7854608 issue dec. 21 assign outotec oyj espoo finland .,1
finnish solution provider affecto oyj hel afe1v say today slip net loss eur 115000 usd 152000 second quarter 2010 profit eur 845000 corresponding period year earlier .,0
newlycompleted allure seas identical sister ship oasis seas complete last year world large cruise ship .,1
1 april 2007 cencorp employee territory .,1
base helsinki finland ramirent branch 13 nordic central eastern european country .,1
business sector build construction infrastructure construction technical building service .,1
design patricia burt one selection distinctive hook rug create recycled material dye natural dye .,1
infection worry prompt regulatory review gilead leukaemia drug $ gild via,0
department store division sale fell 8.6 % eur 140.2 mn .,0
significance teleste emphasise large size grow economy well rapid development tv service distribution industry poland view attractive market .,2
technopolis plan develop stage area less 100000 square meter order host company work computer technology telecommunications statement say .,1
finland export industry form large clientele packaging industry .,1
adp news oct 31 2008 finnish food company raisio oyj omx raivv say today net profit jump eur 16.4 million usd 20.9 first nine month 2008 eur 1.1 million period 2,2
hear late insight update citycon strategy well late news business unit .,1
$ xlf bounce target buy area buy $ skf hedge . watch 50mas slope,0
bhp billiton post big loss slash dividend,0
sunk depth 360380 metre fix bottom mud vacuum .,1
device volume area decrease 21 % 2.7 mn unit .,1
sponda record profit sale 8.5 mln euro $ 12.4 mln .,2
berling capital umo capital veikko laine big shareholder amanda capital .,1
$ trx long setup . macd cross .,2
accord ultrascan software acquire cracker manage change mobile phone way phone able get hold onetime password send bank via text message .,1
begin negotiation estimate number reduction 50 maximum .,1
group business balance broad portfolio sport presence major market .,2
elcoteq global service offer cover entire lifecycle product product development aftermarket service .,1
$ pcln back back intraday reversal look . short move !,0
outotec scope delivery cover engineering supply special equipment service calcination plant two circulate fluid bed calciners .,1
solidium hold 5.0 per cent share solidium oy acquire 5.0 per cent share tieto corporation approximately eur 58 million .,1
raute list nordic exchange helsinki .,1
$ spy still want high think .,2
finnish forest industry group stora enso oyj issue thursday 20 march profit warn first quarter 2008 .,1
poyry good track record major transportation project latin america .,2
announcement push freenet share 6.3 % eur0 .71 frankfurt trade eur10 .65 investor give hope united internet ag drillisch would pursue takeover breakup freenet .,1
10.33 huhtamaki market big faller 8.69 pct low 11.35 eur omx helsinki 25 0.32 pct high 3332.41 omx helsinki 0.47 pct 11687.32 .,0
measure expect produce annual cost saving eur 1.5 million starting 2007 .,2
annual general meeting approve yearly remuneration member board director shall remain eur 40.000 chairman board eur 30.000 deputy chairman board eur 20.000 member board .,1
sanoma magazine finland net sale grow eur 140.1 mn eur 131.8 mn .,2
ruukki order book end 2010 30 % yearonyear 10 % quarteronquarter .,2
repurchase shall decrease distributable capital reserve .,0
pretax loss total eur 162.3 mn compare profit eur 253.5 mn 2007 .,1
$ kior god . market get crush today . get ta hold anything g recover tomorrow imagine .,0
end march 2007 group order book eur 39.6 mn 42 % corresponding period 2006 .,2
national conciliator juhani salonius meet party wednesday say far apart view propose mediation .,0
metsaliitto say book minor gain less eur1 .0 transaction .,2
know post bank concept would see fidelity bank roll 75 office ghana post premise provide financial service people .,2
uks ftse bad day far 2015 bg prudential fall,0
finnish retail software developer aldata solution oyj report net loss 11.7 mln euro $ 17.2 mln 2007 versus net profit 2.5 mln euro $ 3.7 mln 2006 .,0
lsedeutsche brse dealmakers wrong ignore brexit risk,0
aker yard finland begin use chinese subcontractor finnish shipyard .,1
part development worldclass magnetite deposit karara know potential 30 million metric ton annual processing magnetite estimate 30year life .,1
glencore slump 25 pct debt fear grow,0
standard charter raise capital yet dividend cut,0
$ sonc amazing run since middle march obvious qualitytastiness burger factor price advance,2
air traffic finland stoppage since .,0
update 1engineering firm smith group confirm ceo appointment,1
55 worker ml affect closedown .,0
karppinen expect consolidation trend continue finnish market .,1
metso estimate need personnel reduction amount 25 people .,1
$ aapl aapl gundlach slam ipad mini see downside $ 425 .,0
astrazeneca share climb 3 % drug maker ups profit forecast,2
operating profit rise 26.9 % eur 105.8 83.4 million .,2
eps improve eur0 .38 eur0 .27 .,2
insight hire avivas david hillier multiasset team,2
center build kapuli district mantsala beside hankomantsalaporvoo road near new direct rail link lahti jarvenpaa .,1
grow finland norway denmark baltic country .,1
today buy $ mu $ yhoo $ vale $ nbl $ twtr $ axp $ znga,2
proline plus available adjustable single multichannel model fix volume singlechannel model volume range 0.1 micro litres 10 ml .,1
final outcome right offering report around 23 october 2009 .,1
vaisala board director propose dividend 0.85 euro $ 1.24 per share company annual general meeting .,1
body credit fall due february 24 2014 .,1
im like price action $ swks currently .80 target 24.00 year end .,2
report also say nokia operation comprise site bochum ulm dusseldorf munich frankfurt post operating profit interest 246 mln eur .,1
result company decide implement fixedterm temporary layoff .,1
copper market may get 2003style supply shock glencore closure,0
accord company update strategy year 20092012 basware target longterm net sale growth range 20 % 40 % operating profit margin 10 % 20 % net sale .,2
scanfil holding include 100 % contract electronics manufacturer scanfil em group .,1
dubai nokia announce launch come music groundbreaking service introduces new way people enjoy music .,2
finnish metal component supplier componenta december 26 2006 apply approval turkish capital market board launch mandatory offer remain share iron aluminium casting producer doktas dokumculuk .,1
cost saving rise 20 mln eur year 2007 oko say .,2
biohit vwr close cooperation number year u biohit one vwr focus supplier .,2
finnlines say deal part strategy focus core business .,1
order comprises production line plywood mill company say statement receive lesprom network .,1
$ spy long 12 position 137.89,2
total value two contract eur 21 million .,1
adp news oct 1 2008 finnish consult engineering company poyry oyj omx poy1v say today award eur 5.2 million usd 7.4 extension exist consultancy engineering contract venezuel,2
service pricing detail disclose .,1
$ tsla recall 2700 model x vehicle share volatile,0
equipment manufacture vaahto workshop hollola finland schedule shipment first quarter 2009 .,1
$ fb still dog go much low week,0
expand plant schedule operational middle october 2009 .,1
julyseptember 2008 yit net sale increase eur 970.8 mn compare eur 906.8 mn correspond period 2007 .,2
finland oppohjola staff union boycott group insurance sale task company refuse take sale insurance account determine wage .,0
aforementioned shareholder inform propose annual general meeting number member board director shall five besides present member board director also mr lassi noponen shall elect board director .,1
$ tsla recall 2700 model x car . stock drop hard ...,0
finland insurance company pohjola finnish motorcyclist association sign agreement aim improve motorcyclist traffic safety .,2
tikkurila division kemira group control 23 % russian market field own st. petersburg paint producer tex . .,1
department store division report increase sale 4 per cent .,2
baltic country atria target organic growth .,1
operating profit rise eur 103.4 mn eur 23.2 corresponding period 2006 .,2
group revenue 2008 amount eur 94 million company currently employ approximately 730 people .,1
board director also propose dividend eur0 .20 per outstanding share pay .,1
$ ea point two facebook game accuse $ znga copyright infringement .,0
second quarter 2010 group net profit rise eur3 .1 eur2 .5 apriljune 2009 .,2
otherwise situation control .,1
juniper tumble q1 warn cisco also low $ jnpr $ csco,0
beer olvi retain market position .,1
finland city forssa say pay compensation food industry company hk ruokatalo atrium lye leak tap water occur march 2008 .,0
accord late information benefon launch twig device 20 september 2006 .,1
export account 65.4 % net sale represent time record company .,2
accord nordic financial group nordea analyst sami sarkamies make nokia portfolio competitive .,2
payment 2.779 million litas interest longterm loan provide ragutis majority shareholder estonia a. le coq also add loss .,1
aspocomp large factory china factory building project india halt due financing problem .,1
finnish steel maker rautaruukki oyj ruukki say july 7 2008 9.0 mln euro $ 14.1 mln contract supply install steel superstructure partihallsforbindelsen bridge project gothenburg western sweden .,2
profit period total eur 0.8 mn eur 1.1 mn correspond period 2008 .,1
operating profit turnover sixmonth period increase respectively eur17 .6 eur1149 .9 compare corresponding period 2007 .,2
helsinki thomson financial share cargotec fell sharply early afternoon trade cargo handle group post surprise drop apriljune profit overshadow large number new order receive three month .,1
doubt grow glaxosmithklines $ 6 bln capital return plan,0
altogether 150 subject mildly elevate cholesterol level participate fourmonth long intervention .,1
128538 share still subscribe series e share option max .,1
comptel corporation sami ervio president ceo distribution nasdaq omx helsinki major medium comptel dynamic os solution enable telecom service provider deliver service flexibly charge effectively .,1
operating profit ninemonth period increase eur3 .1 net sale increase eur61 .5 compare corresponding period 2007 .,2
absolut bank explore possibility borrowing .,1
$ nke gap time high,2
value order around eur 100 million .,1
elisa say mobile subscription grow 7 percent 2007 mainly customer adopt socalled third generation mobile technology .,2
q2 2009 profit tax amount eur 13.6 mn eur 26.8 mn q2 2008 .,0
berkshire hathaway name kara raiguel lead general unit,1
srv raise hold company summer 2008 majority .,2
olvi control 94 percent stake ragutis a. le coq say annual report publish earlier year lithuanian brewery sale reach 15.04 million euro last year rise 20.4 percent 12.49 million euro 2004 .,2
kesko offer hilton open hotel kalinisky prospect 18000square metre build difficulty .,1
result negotiation company decide make 45 people redundant financial production ground .,1
air traffic finland stoppage since .,1
new b share carry right dividend shareholder right effect today .,1
also traditional grapevine carry lot weight .,1
company continuous need alloy nickel ferrochrome molybdenum manganese production say talvivaara .,1
rautakesko business operation norway russia acquire july 2005 include figure comparable period impact sale growth start august .,1
fair value property portfolio double result kapiteeli acquisition total eur 2686.2 1259.7 million .,2
company say measure longer need .,1
reduction notice apply 17 people .,1
omx helsinki index 0.33 pct low 9364.80 omx helsinki cap portfolio index 0.34 pct 5029.25 .,0
bm4 middle layer headbox equip dilution control system .,1
cencorp estimate net sale last quarter earlier state eur4 .3 eur5 .0 operating profit ebitis estimate positive .,2
$ fti breakout today reporting earnings last night,2
fourth quarter 2009 atria net loss shrank eur 1.2 million eur 5.9 million net sale contract eur 340.4 million eur 361.1 million .,2
therefore company 2005 result remain weak 2004 .,0
however simdax remain available market already approve marketing authorisation submit application 40 country orion add .,2
relief lewis tesco see sale grow first time year,2
$ tspt long 8.00,2
relation city damage comment mr ashley criticise city investor analyst cry baby .,1
honkarakenne oyj worldleading manufacturer genuine wooden home sponsor finnish crosscountry skier virpi kuitunen next three year .,1
company say observed current stabilisation price potential high price delivery first quarter 2011 .,2
eur 220 million transaction consideration pay form fouryear interestbearing vendor note .,1
ruukki group calculate lose eur 4mn fail project .,1
$ fb big money pour facebook direction,2
scania morgan stanley lift share target swedish heavyduty truck bus maker scania ab 330 crown $ 42.4 35.2 euro 310 crown $ 39.8 33.1 euro .,2
2006 teliasonera net sale sek 91 bn ebitda sek 32.266 bn net income sek 19.28 bn .,1
uponor make operating profit eur 151.0 mn eur 143.7 mn make 2007 record year .,2
tekla structure 16 team compatible windows 7 operating system .,1
country finland sector constructionreal estate target pohjolan designtalo oy buyer capman oyj vendor ruukki group oyj deal size usd 102.6 type divestment status agree,1
finnish suominen corporation make wipe nonwovens flexible packaging plant near warsaw poland make flexible packaging .,1
operating profit exclude nonrecurring item total eur 0.2 mn eur 0.8 mn correspond period 2006 .,1
however rapidly increase cost strengthen euro challenge whole industry impact result .,1
net profit three month march 31 fell x20ac 103 million u $ 165 million x20ac 131 million year earlier finnish company say .,1
nokia oyj production site bochum germany post profit interest 134 mln eur 2007 capital report excerpt article release tomorrow cite internal document .,1
rapala vmc corporation stock exchange release october 10 2008 11.45 kaupthing bank oyj kapthing inform rapala vmc corporation rapala interrupt liquidity provide rapala share time .,0
divested activity net sale eur 145.1 million 2009 operating profit eur 8.9 million .,1
$ wynn big bounce,2
polish business employ 1000 people net sale eur 70mn 2007 .,1
royal mail johnson matthey lead ftse low,0
morrison face festive sale test,0
dirk jones head financial institution client sale management gts citigroup inc say citi extremely pleased provide global custody service pohjola group bank .,2
fda approves nps drug move validate shire takeover deal,2
20 october 2010 finnish metal product company componenta oyj hel cth1v say yesterday net loss narrow eur7m first nine month 2010 eur23 .3 period 2009 .,2
period sale drop eur30 .6 eur38 .3 accord interim report release today .,0
department store sale improve 14 % eur 1070.6 mn .,2
executive say country brazil chile argentina mexico lead adoption business ethernet service segment brazil mexico early adopter carrier ethernet mobile backhaul .,1
marketing use tikkurila exist infra structure local knowledge russia .,1
$ twtr best scenario go forward stock slowly fall everyday .... quite probable ...,0
baird like $ tsla upgrades outperform lifts price target $ 300 . research firm also see capital raise necessary next qtrs,2
global sport equipment maker amer sport corp. whose brand include atomic salomon wilson saw 64 percent increase thirdquarter net profit euro 47.4 million $ 65 million strong sale cost cut .,2
$ fb watch bounce tomorrow,2
addition company consider start production russia .,1
netcom expect complete turbo 3g deployment area year .,1
jrvisuomen portti also plan reduce use sodium nitrite .,1
accord ceo matti perkonoja parent company hkscan company performance first quarter 2010 remain clearly level correspond period 2009 .,0
company publish financial statement 2008 february 25 2009 .,1
share sale foreign finnish investor expect raise euro300 million u $ 380 million .,1
$ spy hold wednesday thursday close . im lean bullish . small postions . wait .,2
finnish plumbing heat system supplier uponor net sale continue operation decrease 9.4 % 2008 eur 949.2 mn eur 1047.4 mn 2007 .,0
handset also feature medium bar quick access favorite medium application include music photo youtube ovi share .,1
finnish honkarakenne specialises build log house plan use pine russian karelia .,1
among big christmas seller 35 satin bow shift dress style outfit wear victoria beckham 75 paris hilton prom dress .,1
unaudited consolidated result aspocomp group ifrs reporting standard .,1
comparable operating profit quarter decrease eur510m sale increase eur860m compare third quarter 2007 .,1
$ rad chart flash oversold .,1
$ fb gettin buy zone soon,2
order value eur15m .,1
finnish financial software solution developer basware oyj say net profit fell 884000 euro $ 1.2 mln first quarter 2007 2.0 mln euro $ 2.7 mln year earlier .,1
window 10 awful force upgrade pc without consent ? $ msft,0
finnish forest machinery equipment maker ponsse oyj say october 5 2007 deliver total 67 cuttolength method forest machine 44 harvester head brazilian paper maker bahia pulp unnamed uruguayan wood harvesting contractor .,2
finnish software company qpr software plc omx helsinki qpr1v report thursday 23 october operating profit eur63 000 net sale eur1 .5 third quarter 2008 .,1
operating profit net sale ninemonth period increase respectively 26.6 % 3.4 % compare corresponding period 2006 .,2
international conference call audio webcast concern financial result januarymarch 2010 begin 14.00 eet .,1
finnish kemira net sale eur decrease eur 1259.6 mn januaryjune 2009 eur 1425.1 mn januaryjune 2008 .,0
$ zsl look weak could good short setup .,0
rme telcontar enable handset calculate best route include support userdefined route feature navigability multimodal rout via foot ferry .,1
call switchboard directory service decrease significantly since employee uptodate contact information colleague customer phone place call directly .,1
ap caterpillar post 60 percent jump 4q profit steep global sale increase top wall st. view $ cat,2
insurance policy simple .,1
nokia capcom announce resident evil degeneration release ngage later year .,1
